Problem - C:\Koba\Science\UCON\Experiments-with-line-search\SparseSystems\Matrices\Kuu.mtx
CPU time: 197748
x[0   ]=218.392              x[1775]=351.704              x[3550]=67.2444              x[5325]=253.875              
x[872 ]=153.618              x[2647]=19.0366              x[4422]=220.661              x[6197]=125.27               
x[873 ]=356.322              x[2648]=8.16541              x[4423]=307.206              x[6198]=55.7032              
x[874 ]=153.661              x[2649]=18.7652              x[4424]=209.278              x[6199]=126.382              
x[875 ]=356.146              x[2650]=7.8634               x[4425]=306.272              x[6200]=56.57                
x[876 ]=153.773              x[2651]=18.3817              x[4426]=198.646              x[6201]=127.468              
x[877 ]=356.099              x[2652]=7.60871              x[4427]=304.701              x[6202]=57.1373              
x[878 ]=153.743              x[2653]=18.0286              x[4428]=188.736              x[6203]=128.417              
x[879 ]=356.068              x[2654]=7.37434              x[4429]=302.653              x[6204]=57.6977              
x[880 ]=153.766              x[2655]=17.6627              x[4430]=179.235              x[6205]=129.354              
x[881 ]=356.16               x[2656]=6.94755              x[4431]=300.037              x[6206]=58.2519              
x[882 ]=153.836              x[2657]=17.1746              x[4432]=170.532              x[6207]=130.269              
x[883 ]=356.371              x[2658]=6.54466              x[4433]=297.203              x[6208]=58.5472              
x[884 ]=153.737              x[2659]=16.7058              x[4434]=162.653              x[6209]=131.051              
x[885 ]=356.586              x[2660]=6.13222              x[4435]=294.263              x[6210]=58.8704              
x[886 ]=153.664              x[2661]=16.2126              x[4436]=155.258              x[6211]=131.827              
x[887 ]=356.909              x[2662]=5.48844              x[4437]=291.109              x[6212]=59.2176              
x[888 ]=153.609              x[2663]=15.5852              x[4438]=148.696              x[6213]=132.589              
x[889 ]=357.335              x[2664]=4.81747              x[4439]=288.03               x[6214]=59.3324              
x[890 ]=153.355              x[2665]=14.9661              x[4440]=142.949              x[6215]=133.225              
x[891 ]=357.745              x[2666]=4.0649               x[4441]=285.092              x[6216]=59.4985              
x[892 ]=153.095              x[2667]=14.3149              x[4442]=137.637              x[6217]=133.865              
x[893 ]=358.243              x[2668]=2.97905              x[4443]=282.137              x[6218]=59.7097              
x[894 ]=152.818              x[2669]=13.5334              x[4444]=133.072              x[6219]=134.497              
x[895 ]=358.819              x[2670]=1.71028              x[4445]=279.406              x[6220]=59.7074              
x[896 ]=152.306              x[2671]=12.7773              x[4446]=129.206              x[6221]=135.013              
x[897 ]=359.354              x[2672]=0.109155             x[4447]=276.919              x[6222]=59.7738              
x[898 ]=151.751              x[2673]=12.0866              x[4448]=125.639              x[6223]=135.539              
x[899 ]=359.948              x[2674]=-2.42784             x[4449]=274.479              x[6224]=59.9013              
x[900 ]=151.142              x[2675]=11.524               x[4450]=122.67               x[6225]=136.066              
x[901 ]=360.588              x[2676]=-6.57171             x[4451]=272.291              x[6226]=59.8304              
x[902 ]=150.257              x[2677]=11.8973              x[4452]=120.248              x[6227]=136.485              
x[903 ]=361.15               x[2678]=-16.8675             x[4453]=270.351              x[6228]=59.8425              
x[904 ]=149.291              x[2679]=15.5165              x[4454]=117.973              x[6229]=136.921              
x[905 ]=361.731              x[2680]=88.8052              x[4455]=268.442              x[6230]=59.9294              
x[906 ]=148.228              x[2681]=72.0668              x[4456]=116.15               x[6231]=137.366              
x[907 ]=362.315              x[2682]=62.4524              x[4457]=266.757              x[6232]=59.8314              
x[908 ]=146.851              x[2683]=60.0158              x[4458]=114.741              x[6233]=137.708              
x[909 ]=362.775              x[2684]=47.3516              x[4459]=265.283              x[6234]=59.8297              
x[910 ]=145.35               x[2685]=51.347               x[4460]=113.355              x[6235]=138.076              
x[911 ]=363.204              x[2686]=39.5111              x[4461]=263.799              x[6236]=59.9161              
x[912 ]=143.714              x[2687]=47.3939              x[4462]=112.309              x[6237]=138.458              
x[913 ]=363.581              x[2688]=34.1866              x[4463]=262.499              x[6238]=59.8312              
x[914 ]=141.723              x[2689]=45.1038              x[4464]=111.577              x[6239]=138.745              
x[915 ]=363.775              x[2690]=30.7591              x[4465]=261.371              x[6240]=59.8568              
x[916 ]=139.571              x[2691]=44.0078              x[4466]=110.778              x[6241]=139.064              
x[917 ]=363.875              x[2692]=28.3696              x[4467]=260.195              x[6242]=59.9855              
x[918 ]=137.244              x[2693]=43.4843              x[4468]=110.241              x[6243]=139.403              
x[919 ]=363.86               x[2694]=26.4074              x[4469]=259.168              x[6244]=59.9587              
x[920 ]=134.524              x[2695]=43.159               x[4470]=109.947              x[6245]=139.654              
x[921 ]=363.593              x[2696]=24.9627              x[4471]=258.279              x[6246]=60.0597              
x[922 ]=131.605              x[2697]=43.0462              x[4472]=109.525              x[6247]=139.944              
x[923 ]=363.162              x[2698]=23.9033              x[4473]=257.315              x[6248]=60.2829              
x[924 ]=128.472              x[2699]=43.0548              x[4474]=109.31               x[6249]=140.263              
x[925 ]=362.542              x[2700]=22.8814              x[4475]=256.472              x[6250]=60.3719              
x[926 ]=124.909              x[2701]=43.0289              x[4476]=109.289              x[6251]=140.502              
x[927 ]=361.596              x[2702]=22.1328              x[4477]=255.744              x[6252]=60.6126              
x[928 ]=121.107              x[2703]=43.0801              x[4478]=109.097              x[6253]=140.789              
x[929 ]=360.41               x[2704]=21.6042              x[4479]=254.919              x[6254]=61.0027              
x[930 ]=117.052              x[2705]=43.1764              x[4480]=109.072              x[6255]=141.117              
x[931 ]=358.961              x[2706]=20.9971              x[4481]=254.196              x[6256]=61.2903              
x[932 ]=112.526              x[2707]=43.1922              x[4482]=109.205              x[6257]=141.378              
x[933 ]=357.117              x[2708]=20.5774              x[4483]=253.571              x[6258]=61.7666              
x[934 ]=107.731              x[2709]=43.2567              x[4484]=109.133              x[6259]=141.704              
x[935 ]=354.977              x[2710]=20.3144              x[4485]=252.832              x[6260]=62.436               
x[936 ]=102.691              x[2711]=43.3493              x[4486]=109.199              x[6261]=142.091              
x[937 ]=352.481              x[2712]=19.9243              x[4487]=252.181              x[6262]=63.055               
x[938 ]=166.292              x[2713]=43.3509              x[4488]=109.393              x[6263]=142.437              
x[939 ]=379.543              x[2714]=19.6836              x[4489]=251.613              x[6264]=63.9257              
x[940 ]=166.357              x[2715]=43.3948              x[4490]=109.355              x[6265]=142.88               
x[941 ]=381.599              x[2716]=19.5695              x[4491]=250.919              x[6266]=65.0668              
x[942 ]=166.294              x[2717]=43.463               x[4492]=109.427              x[6267]=143.424              
x[943 ]=383.245              x[2718]=19.3041              x[4493]=250.301              x[6268]=66.2523              
x[944 ]=166.176              x[2719]=43.4381              x[4494]=109.6                x[6269]=143.979              
x[945 ]=384.52               x[2720]=19.1685              x[4495]=249.756              x[6270]=67.8087              
x[946 ]=165.898              x[2721]=43.4543              x[4496]=109.513              x[6271]=144.697              
x[947 ]=385.4                x[2722]=19.1431              x[4497]=249.074              x[6272]=69.786               
x[948 ]=165.588              x[2723]=43.4943              x[4498]=109.508              x[6273]=145.602              
x[949 ]=385.964              x[2724]=18.9527              x[4499]=248.459              x[6274]=71.9991              
x[950 ]=165.262              x[2725]=43.4408              x[4500]=109.576              x[6275]=146.629              
x[951 ]=386.251              x[2726]=18.8805              x[4501]=247.909              x[6276]=74.8313              
x[952 ]=164.798              x[2727]=43.4284              x[4502]=109.352              x[6277]=147.963              
x[953 ]=386.227              x[2728]=18.9086              x[4503]=247.216              x[6278]=78.4053              
x[954 ]=164.324              x[2729]=43.4397              x[4504]=109.177              x[6279]=149.667              
x[955 ]=385.97               x[2730]=18.7632              x[4505]=246.582              x[6280]=82.6326              
x[956 ]=163.859              x[2731]=43.3576              x[4506]=109.039              x[6281]=151.723              
x[957 ]=385.516              x[2732]=18.7283              x[4507]=246.009              x[6282]=88.0203              
x[958 ]=163.28               x[2733]=43.3164              x[4508]=108.57               x[6283]=154.366              
x[959 ]=384.83               x[2734]=18.7871              x[4509]=245.288              x[6284]=94.8372              
x[960 ]=162.718              x[2735]=43.2986              x[4510]=108.107              x[6285]=157.696              
x[961 ]=383.99               x[2736]=18.6663              x[4511]=244.626              x[6286]=103.148              
x[962 ]=162.19               x[2737]=43.187               x[4512]=107.632              x[6287]=161.695              
x[963 ]=383.03               x[2738]=18.6506              x[4513]=244.024              x[6288]=113.577              
x[964 ]=161.574              x[2739]=43.1158              x[4514]=106.774              x[6289]=166.508              
x[965 ]=381.913              x[2740]=18.7234              x[4515]=243.277              x[6290]=126.42               
x[966 ]=160.999              x[2741]=43.0673              x[4516]=105.86               x[6291]=172.014              
x[967 ]=380.715              x[2742]=18.6119              x[4517]=242.593              x[6292]=141.624              
x[968 ]=160.481              x[2743]=42.9239              x[4518]=104.868              x[6293]=177.852              
x[969 ]=379.468              x[2744]=18.6011              x[4519]=241.976              x[6294]=159.562              
x[970 ]=159.896              x[2745]=42.8197              x[4520]=103.416              x[6295]=183.727              
x[971 ]=378.132              x[2746]=18.6744              x[4521]=241.225              x[6296]=180.139              
x[972 ]=159.372              x[2747]=42.7369              x[4522]=101.823              x[6297]=189.115              
x[973 ]=376.78               x[2748]=18.5593              x[4523]=240.55               x[6298]=-36.4738             
x[974 ]=158.922              x[2749]=42.5576              x[4524]=100.055              x[6299]=94.6748              
x[975 ]=375.439              x[2750]=18.5405              x[4525]=239.958              x[6300]=-20.7055             
x[976 ]=158.419              x[2751]=42.4156              x[4526]=97.7191              x[6301]=94.4442              
x[977 ]=374.066              x[2752]=18.6019              x[4527]=239.249              x[6302]=-7.45376             
x[978 ]=157.989              x[2753]=42.2927              x[4528]=95.1222              x[6303]=94.2088              
x[979 ]=372.729              x[2754]=18.4706              x[4529]=238.635              x[6304]=3.50524              
x[980 ]=157.643              x[2755]=42.0709              x[4530]=92.217               x[6305]=94.2317              
x[981 ]=371.451              x[2756]=18.4314              x[4531]=238.121              x[6306]=12.1527              
x[982 ]=157.251              x[2757]=41.8836              x[4532]=88.5985              x[6307]=94.4071              
x[983 ]=370.183              x[2758]=18.4678              x[4533]=237.504              x[6308]=19.1864              
x[984 ]=156.936              x[2759]=41.7125              x[4534]=84.562               x[6309]=95.0055              
x[985 ]=368.989              x[2760]=18.3068              x[4535]=236.991              x[6310]=24.9572              
x[986 ]=156.707              x[2761]=41.439               x[4536]=80.0505              x[6311]=95.9738              
x[987 ]=367.887              x[2762]=18.2328              x[4537]=236.577              x[6312]=29.4089              
x[988 ]=156.434              x[2763]=41.1961              x[4538]=74.6522              x[6313]=97.0386              
x[989 ]=366.825              x[2764]=18.229               x[4539]=236.046              x[6314]=33.1396              
x[990 ]=156.237              x[2765]=40.9653              x[4540]=68.6596              x[6315]=98.3164              
x[991 ]=365.861              x[2766]=18.0218              x[4541]=235.581              x[6316]=36.3293              
x[992 ]=156.122              x[2767]=40.6274              x[4542]=62.0168              x[6317]=99.7439              
x[993 ]=365.01               x[2768]=17.8951              x[4543]=235.155              x[6318]=38.7685              
x[994 ]=155.959              x[2769]=40.3152              x[4544]=54.3179              x[6319]=101.063              
x[995 ]=364.217              x[2770]=17.8313              x[4545]=234.521              x[6320]=40.9107              
x[996 ]=155.865              x[2771]=40.0092              x[4546]=45.8652              x[6321]=102.446              
x[997 ]=363.535              x[2772]=17.5561              x[4547]=233.827              x[6322]=42.8352              
x[998 ]=155.848              x[2773]=39.5901              x[4548]=36.6132              x[6323]=103.867              
x[999 ]=362.977              x[2774]=17.3522              x[4549]=233.006              x[6324]=44.2505              
x[1000]=155.774              x[2775]=39.1897              x[4550]=26.1694              x[6325]=105.105              
x[1001]=362.483              x[2776]=17.2006              x[4551]=231.748              x[6326]=45.5549              
x[1002]=155.761              x[2777]=38.788               x[4552]=14.8216              x[6327]=106.356              
x[1003]=362.107              x[2778]=16.8254              x[4553]=230.165              x[6328]=46.785               
x[1004]=155.814              x[2779]=38.2647              x[4554]=2.57121              x[6329]=107.616              
x[1005]=361.857              x[2780]=16.5072              x[4555]=228.113              x[6330]=47.6183              
x[1006]=155.798              x[2781]=37.7507              x[4556]=220.468              x[6331]=108.675              
x[1007]=361.671              x[2782]=16.2245              x[4557]=316.575              x[6332]=48.4301              
x[1008]=155.83               x[2783]=37.2253              x[4558]=210.339              x[6333]=109.739              
x[1009]=361.6                x[2784]=15.6981              x[4559]=316.1                x[6334]=49.2398              
x[1010]=155.914              x[2785]=36.5669              x[4560]=200.631              x[6335]=110.809              
x[1011]=361.651              x[2786]=15.2043              x[4561]=314.903              x[6336]=49.7116              
x[1012]=155.914              x[2787]=35.9057              x[4562]=191.481              x[6337]=111.68               
x[1013]=361.759              x[2788]=14.7163              x[4563]=313.188              x[6338]=50.2109              
x[1014]=155.946              x[2789]=35.2199              x[4564]=182.658              x[6339]=112.561              
x[1015]=361.975              x[2790]=13.9475              x[4565]=310.963              x[6340]=50.7492              
x[1016]=156.011              x[2791]=34.3876              x[4566]=174.483              x[6341]=113.453              
x[1017]=362.301              x[2792]=13.1651              x[4567]=308.455              x[6342]=50.9842              
x[1018]=155.973              x[2793]=33.5389              x[4568]=167.003              x[6343]=114.155              
x[1019]=362.672              x[2794]=12.3282              x[4569]=305.778              x[6344]=51.2765              
x[1020]=155.944              x[2795]=32.6538              x[4570]=159.962              x[6345]=114.875              
x[1021]=363.134              x[2796]=11.1326              x[4571]=302.896              x[6346]=51.6339              
x[1022]=155.926              x[2797]=31.6145              x[4572]=153.633              x[6347]=115.615              
x[1023]=363.689              x[2798]=9.81781              x[4573]=300                  x[6348]=51.7107              
x[1024]=155.78               x[2799]=30.5593              x[4574]=148.024              x[6349]=116.173              
x[1025]=364.27               x[2800]=8.30101              x[4575]=297.17               x[6350]=51.865               
x[1026]=155.617              x[2801]=29.4877              x[4576]=142.839              x[6351]=116.757              
x[1027]=364.918              x[2802]=6.20661              x[4577]=294.329              x[6352]=52.1024              
x[1028]=155.437              x[2803]=28.3161              x[4578]=138.316              x[6353]=117.371              
x[1029]=365.633              x[2804]=3.65034              x[4579]=291.631              x[6354]=52.0757              
x[1030]=155.099              x[2805]=27.2632              x[4580]=134.433              x[6355]=117.81               
x[1031]=366.344              x[2806]=0.241085             x[4581]=289.115              x[6356]=52.1416              
x[1032]=154.714              x[2807]=26.5293              x[4582]=130.873              x[6357]=118.285              
x[1033]=367.09               x[2808]=-4.74267             x[4583]=286.672              x[6358]=52.3044              
x[1034]=154.279              x[2809]=26.235               x[4584]=127.859              x[6359]=118.795              
x[1035]=367.868              x[2810]=-12.8353             x[4585]=284.421              x[6360]=52.2161              
x[1036]=153.655              x[2811]=27.6345              x[4586]=125.359              x[6361]=119.14               
x[1037]=368.602              x[2812]=-26.1068             x[4587]=282.378              x[6362]=52.2328              
x[1038]=152.949              x[2813]=30.4922              x[4588]=123.054              x[6363]=119.525              
x[1039]=369.329              x[2814]=114.414              x[4589]=280.409              x[6364]=52.3584              
x[1040]=152.16               x[2815]=99.5432              x[4590]=121.167              x[6365]=119.954              
x[1041]=370.041              x[2816]=89.012               x[4591]=278.623              x[6366]=52.2446              
x[1042]=151.145              x[2817]=88.8507              x[4592]=119.674              x[6367]=120.223              
x[1043]=370.66               x[2818]=71.2361              x[4593]=277.023              x[6368]=52.2472              
x[1044]=150.015              x[2819]=80.2019              x[4594]=118.26               x[6369]=120.539              
x[1045]=371.218              x[2820]=59.156               x[4595]=275.47               x[6370]=52.3703              
x[1046]=148.765              x[2821]=73.7277              x[4596]=117.159              x[6371]=120.904              
x[1047]=371.704              x[2822]=51.4381              x[4597]=274.068              x[6372]=52.2657              
x[1048]=147.256              x[2823]=70.0592              x[4598]=116.356              x[6373]=121.114              
x[1049]=372.038              x[2824]=46.0275              x[4599]=272.818              x[6374]=52.2898              
x[1050]=145.596              x[2825]=67.7585              x[4600]=115.546              x[6375]=121.377              
x[1051]=372.248              x[2826]=42.2949              x[4601]=271.583              x[6376]=52.4472              
x[1052]=143.783              x[2827]=66.462               x[4602]=114.971              x[6377]=121.694              
x[1053]=372.321              x[2828]=39.2591              x[4603]=270.469              x[6378]=52.3906              
x[1054]=141.674              x[2829]=65.5482              x[4604]=114.624              x[6379]=121.862              
x[1055]=372.173              x[2830]=37.0256              x[4605]=269.477              x[6380]=52.4774              
x[1056]=139.38               x[2831]=65.043               x[4606]=114.207              x[6381]=122.088              
x[1057]=371.832              x[2832]=35.3797              x[4607]=268.473              x[6382]=52.7138              
x[1058]=136.897              x[2833]=64.8081              x[4608]=113.97               x[6383]=122.374              
x[1059]=371.282              x[2834]=33.8531              x[4609]=267.563              x[6384]=52.7542              
x[1060]=134.083              x[2835]=64.5607              x[4610]=113.911              x[6385]=122.517              
x[1061]=370.435              x[2836]=32.7122              x[4611]=266.753              x[6386]=52.9584              
x[1062]=131.046              x[2837]=64.4641              x[4612]=113.737              x[6387]=122.725              
x[1063]=369.319              x[2838]=31.894               x[4613]=265.91               x[6388]=53.3353              
x[1064]=127.783              x[2839]=64.4829              x[4614]=113.702              x[6389]=123.002              
x[1065]=367.913              x[2840]=31.0079              x[4615]=265.142              x[6390]=53.5429              
x[1066]=124.15               x[2841]=64.3927              x[4616]=113.808              x[6391]=123.146              
x[1067]=366.127              x[2842]=30.3731              x[4617]=264.456              x[6392]=53.9454              
x[1068]=120.266              x[2843]=64.3899              x[4618]=113.764              x[6393]=123.367              
x[1069]=363.979              x[2844]=29.9612              x[4619]=263.72               x[6394]=54.5573              
x[1070]=116.157              x[2845]=64.4614              x[4620]=113.827              x[6395]=123.671              
x[1071]=361.474              x[2846]=29.4058              x[4621]=263.044              x[6396]=55.0438              
x[1072]=154.733              x[2847]=64.3966              x[4622]=114.001              x[6397]=123.862              
x[1073]=377.994              x[2848]=29.0427              x[4623]=262.436              x[6398]=55.7783              
x[1074]=155.75               x[2849]=64.4008              x[4624]=113.996              x[6399]=124.154              
x[1075]=380.189              x[2850]=28.8562              x[4625]=261.766              x[6400]=56.7872              
x[1076]=156.704              x[2851]=64.4666              x[4626]=114.069              x[6401]=124.56               
x[1077]=382.011              x[2852]=28.4893              x[4627]=261.144              x[6402]=57.7508              
x[1078]=157.562              x[2853]=64.3876              x[4628]=114.223              x[6403]=124.893              
x[1079]=383.455              x[2854]=28.2845              x[4629]=260.579              x[6404]=59.0634              
x[1080]=158.205              x[2855]=64.3714              x[4630]=114.171              x[6405]=125.381              
x[1081]=384.504              x[2856]=28.2316              x[4631]=259.941              x[6406]=60.779               
x[1082]=158.77               x[2857]=64.4128              x[4632]=114.166              x[6407]=126.054              
x[1083]=385.249              x[2858]=27.9775              x[4633]=259.342              x[6408]=62.6146              
x[1084]=159.26               x[2859]=64.3063              x[4634]=114.213              x[6409]=126.748              
x[1085]=385.71               x[2860]=27.8681              x[4635]=258.793              x[6410]=65.0164              
x[1086]=159.562              x[2861]=64.2604              x[4636]=114.019              x[6411]=127.723              
x[1087]=385.863              x[2862]=27.8956              x[4637]=258.163              x[6412]=68.11                
x[1088]=159.815              x[2863]=64.2703              x[4638]=113.839              x[6413]=129.054              
x[1089]=385.794              x[2864]=27.7091              x[4639]=257.566              x[6414]=71.7057              
x[1090]=160.02               x[2865]=64.1308              x[4640]=113.673              x[6415]=130.632              
x[1091]=385.52               x[2866]=27.656               x[4641]=257.013              x[6416]=76.3932              
x[1092]=160.066              x[2867]=64.0507              x[4642]=113.225              x[6417]=132.795              
x[1093]=385.015              x[2868]=27.7298              x[4643]=256.377              x[6418]=82.464               
x[1094]=160.089              x[2869]=64.0251              x[4644]=112.746              x[6419]=135.688              
x[1095]=384.363              x[2870]=27.5806              x[4645]=255.772              x[6420]=89.982               
x[1096]=160.092              x[2871]=63.8488              x[4646]=112.229              x[6421]=139.301              
x[1097]=383.581              x[2872]=27.5565              x[4647]=255.211              x[6422]=99.7427              
x[1098]=159.962              x[2873]=63.7305              x[4648]=111.376              x[6423]=143.938              
x[1099]=382.639              x[2874]=27.6519              x[4649]=254.569              x[6424]=112.246              
x[1100]=159.837              x[2875]=63.6651              x[4650]=110.43               x[6425]=149.64               
x[1101]=381.621              x[2876]=27.5174              x[4651]=253.962              x[6426]=127.492              
x[1102]=159.716              x[2877]=63.4472              x[4652]=109.377              x[6427]=155.922              
x[1103]=380.54               x[2878]=27.5014              x[4653]=253.407              x[6428]=146.032              
x[1104]=159.488              x[2879]=63.2853              x[4654]=107.911              x[6429]=162.607              
x[1105]=379.364              x[2880]=27.5985              x[4655]=252.778              x[6430]=167.957              
x[1106]=159.287              x[2881]=63.174               x[4656]=106.266              x[6431]=169.022              
x[1107]=378.175              x[2882]=27.4595              x[4657]=252.195              x[6432]=-36.5972             
x[1108]=159.112              x[2883]=62.9078              x[4658]=104.419              x[6433]=78.1422              
x[1109]=376.982              x[2884]=27.433               x[4659]=251.675              x[6434]=-20.8935             
x[1110]=158.849              x[2885]=62.6946              x[4660]=102.053              x[6435]=77.493               
x[1111]=375.75               x[2886]=27.5136              x[4661]=251.095              x[6436]=-8.19968             
x[1112]=158.633              x[2887]=62.5289              x[4662]=99.3906              x[6437]=76.9116              
x[1113]=374.556              x[2888]=27.3518              x[4663]=250.574              x[6438]=1.96564              
x[1114]=158.459              x[2889]=62.2046              x[4664]=96.4009              x[6439]=76.7299              
x[1115]=373.405              x[2890]=27.2963              x[4665]=250.125              x[6440]=9.75219              
x[1116]=158.21               x[2891]=61.9295              x[4666]=92.7562              x[6441]=76.9656              
x[1117]=372.259              x[2892]=27.3412              x[4667]=249.622              x[6442]=15.907               
x[1118]=158.02               x[2893]=61.6975              x[4668]=88.6719              x[6443]=77.6787              
x[1119]=371.19               x[2894]=27.1369              x[4669]=249.174              x[6444]=20.8537              
x[1120]=157.883              x[2895]=61.3023              x[4670]=84.1103              x[6445]=78.7775              
x[1121]=370.2                x[2896]=27.0315              x[4671]=248.787              x[6446]=24.6584              
x[1122]=157.68               x[2897]=60.951               x[4672]=78.7407              x[6447]=80.0011              
x[1123]=369.245              x[2898]=27.0186              x[4673]=248.316              x[6448]=27.8147              
x[1124]=157.542              x[2899]=60.6372              x[4674]=72.7797              x[6449]=81.3693              
x[1125]=368.394              x[2900]=26.7479              x[4675]=247.855              x[6450]=30.5076              
x[1126]=157.462              x[2901]=60.1539              x[4676]=66.194               x[6451]=82.8234              
x[1127]=367.645              x[2902]=26.5665              x[4677]=247.384              x[6452]=32.5847              
x[1128]=157.32               x[2903]=59.7078              x[4678]=58.6619              x[6453]=84.1919              
x[1129]=366.951              x[2904]=26.467               x[4679]=246.735              x[6454]=34.3983              
x[1130]=157.245              x[2905]=59.2917              x[4680]=50.4145              x[6455]=85.5591              
x[1131]=366.378              x[2906]=26.0979              x[4681]=245.971              x[6456]=36.0279              
x[1132]=157.229              x[2907]=58.6983              x[4682]=41.4366              x[6457]=86.9198              
x[1133]=365.919              x[2908]=25.8047              x[4683]=245.04               x[6458]=37.2474              
x[1134]=157.149              x[2909]=58.1332              x[4684]=31.4311              x[6459]=88.1392              
x[1135]=365.525              x[2910]=25.5779              x[4685]=243.74               x[6460]=38.3594              
x[1136]=157.135              x[2911]=57.5888              x[4686]=20.6393              x[6461]=89.3249              
x[1137]=365.259              x[2912]=25.0637              x[4687]=242.057              x[6462]=39.4071              
x[1138]=157.175              x[2913]=56.8567              x[4688]=9.06316              x[6463]=90.4877              
x[1139]=365.113              x[2914]=24.6045              x[4689]=239.848              x[6464]=40.1381              
x[1140]=157.148              x[2915]=56.142               x[4690]=219.736              x[6465]=91.5032              
x[1141]=365.034              x[2916]=24.1869              x[4691]=325.063              x[6466]=40.8359              
x[1142]=157.18               x[2917]=55.4363              x[4692]=210.623              x[6467]=92.4853              
x[1143]=365.081              x[2918]=23.4523              x[4693]=324.876              x[6468]=41.5296              
x[1144]=157.259              x[2919]=54.5305              x[4694]=201.829              x[6469]=93.4492              
x[1145]=365.245              x[2920]=22.7366              x[4695]=324.036              x[6470]=41.9554              
x[1146]=157.261              x[2921]=53.6295              x[4696]=193.429              x[6471]=94.2727              
x[1147]=365.472              x[2922]=22.0182              x[4697]=322.676              x[6472]=42.3889              
x[1148]=157.312              x[2923]=52.725               x[4698]=185.255              x[6473]=95.0714              
x[1149]=365.818              x[2924]=20.9275              x[4699]=320.799              x[6474]=42.8524              
x[1150]=157.398              x[2925]=51.6093              x[4700]=177.627              x[6475]=95.8611              
x[1151]=366.27               x[2926]=19.7854              x[4701]=318.623              x[6476]=43.0771              
x[1152]=157.395              x[2927]=50.4899              x[4702]=170.59               x[6477]=96.5201              
x[1153]=366.771              x[2928]=18.5498              x[4703]=316.238              x[6478]=43.3344              
x[1154]=157.425              x[2929]=49.3649              x[4704]=163.911              x[6479]=97.1639              
x[1155]=367.377              x[2930]=16.8213              x[4705]=313.603              x[6480]=43.6435              
x[1156]=157.474              x[2931]=48.0368              x[4706]=157.867              x[6481]=97.8082              
x[1157]=368.071              x[2932]=14.8781              x[4707]=310.917              x[6482]=43.7329              
x[1158]=157.414              x[2933]=46.734               x[4708]=152.461              x[6483]=98.331               
x[1159]=368.793              x[2934]=12.6029              x[4709]=308.241              x[6484]=43.8719              
x[1160]=157.369              x[2935]=45.4933              x[4710]=147.423              x[6485]=98.8474              
x[1161]=369.595              x[2936]=9.50798              x[4711]=305.508              x[6486]=44.0779              
x[1162]=157.322              x[2937]=44.1727              x[4712]=142.998              x[6487]=99.3726              
x[1163]=370.457              x[2938]=5.64222              x[4713]=302.882              x[6488]=44.078               
x[1164]=157.143              x[2939]=43.1358              x[4714]=139.163              x[6489]=99.7844              
x[1165]=371.317              x[2940]=0.651479             x[4715]=300.395              x[6490]=44.1405              
x[1166]=156.954              x[2941]=42.5403              x[4716]=135.622              x[6491]=100.197              
x[1167]=372.223              x[2942]=-6.82382             x[4717]=297.944              x[6492]=44.2817              
x[1168]=156.738              x[2943]=42.7957              x[4718]=132.607              x[6493]=100.626              
x[1169]=373.151              x[2944]=-17.1804             x[4719]=295.668              x[6494]=44.228               
x[1170]=156.363              x[2945]=44.0174              x[4720]=130.08               x[6495]=100.948              
x[1171]=374.035              x[2946]=-31.5156             x[4721]=293.573              x[6496]=44.2472              
x[1172]=155.951              x[2947]=46.2413              x[4722]=127.741              x[6497]=101.278              
x[1173]=374.919              x[2948]=135.418              x[4723]=291.536              x[6498]=44.3552              
x[1174]=155.482              x[2949]=123.982              x[4724]=125.819              x[6499]=101.629              
x[1175]=375.777              x[2950]=111.268              x[4725]=289.678              x[6500]=44.2783              
x[1176]=154.825              x[2951]=115.314              x[4726]=124.278              x[6501]=101.879              
x[1177]=376.539              x[2952]=92.3928              x[4727]=287.994              x[6502]=44.2838              
x[1178]=154.1                x[2953]=106.996              x[4728]=122.821              x[6503]=102.141              
x[1179]=377.246              x[2954]=78.4591              x[4729]=286.353              x[6504]=44.388               
x[1180]=153.288              x[2955]=100.234              x[4730]=121.684              x[6505]=102.43               
x[1181]=377.868              x[2956]=68.3102              x[4731]=284.87               x[6506]=44.317               
x[1182]=152.257              x[2957]=95.1964              x[4732]=120.838              x[6507]=102.622              
x[1183]=378.333              x[2958]=61.1147              x[4733]=283.535              x[6508]=44.3389              
x[1184]=151.126              x[2959]=91.811               x[4734]=119.994              x[6509]=102.831              
x[1185]=378.679              x[2960]=55.9219              x[4735]=282.217              x[6510]=44.4701              
x[1186]=149.877              x[2961]=89.5744              x[4736]=119.393              x[6511]=103.071              
x[1187]=378.874              x[2962]=51.8595              x[4737]=281.03               x[6512]=44.4377              
x[1188]=148.377              x[2963]=88.0122              x[4738]=119.015              x[6513]=103.217              
x[1189]=378.843              x[2964]=48.7913              x[4739]=279.967              x[6514]=44.5105              
x[1190]=146.745              x[2965]=86.9789              x[4740]=118.577              x[6515]=103.384              
x[1191]=378.623              x[2966]=46.4798              x[4741]=278.895              x[6516]=44.706               
x[1192]=144.961              x[2967]=86.3219              x[4742]=118.327              x[6517]=103.587              
x[1193]=378.179              x[2968]=44.472               x[4743]=277.932              x[6518]=44.7529              
x[1194]=142.895              x[2969]=85.8036              x[4744]=118.249              x[6519]=103.7                
